"Vaginal discharge aur itching ki problem hai, infection lag raha hai.",Treatment of Syndromic treatment of vaginal discharge,,
Bhot udasi (Depression) rehti hai aur naso ka dard (Neuropathic pain) aur Migraine bhot hai.,"Treatment of Depression, Neuropathic pain, Treatment of Migraine",,
Aankhon se kam dikhne laga hai aur Vitamin A ki bhot kami batayi hai.,Treatment of Vitamin A deficiency,,
"Body me khoon ke thakke (Blood clots) ban rahe hain, unhe prevent karna hai.",Treatment and prevention of Blood clots,,
Seene me dard (Angina) hota hai jab bhi thoda chalta hoon.,Treatment of Angina (heart-related chest pain),,
Saans phulti hai aur Asthma ki purani shikayat hai.,Asthma,,
"Face par bhot zyada pimples aur Acne ho gaye hain, skin bhot kharab ho gayi hai.",Acne,,
Body par dardnak rashes aur chale (Herpes/Chickenpox) ho gaye hain.,"Herpes Simplex Virus Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection",,
"Bhukh bilkul nahi lagti, vajan ghat raha hai, Appetite stimulant chahiye.",Appetite stimulant,,Appetite stimulant
"Balgam bhot gadha (viscid mucus) ho gaya hai, nikalne me bhot takleef hoti hai.",Treatment of Respiratory tract disorders associated with viscid mucus,,
"Khana hazam nahi hota, pet me bhari-pan (Functional dyspepsia) lagta hai.",Treatment of Functional dyspepsia,,
Honton par thand-bukhar wale chale (Herpes labialis) ho gaye hain.,Herpes labialis,,
Sharir me pani bhar gaya hai aur sujan (Edema) bhot zyada hai.,Treatment of Edema,,
Uric acid badh gaya hai (Gout) aur kidney stone ki wajah se bhot dard hai.,"Treatment of Gout, Treatment of Kidney stone",,
"Puraane baatein bhul raha hoon, Alzheimer's ke lakshan lag rahe hain.",Alzheimer's disease,,
Muscles me bhot khichav aur dard (Muscular pain) rehta hai.,Treatment of Muscular pain,,
"Sardi-zukaam (Common cold) ho gaya hai, naak band hai aur sar bhari hai.",Common cold,,
"Sugar bhot badh gayi hai, Type 2 Diabetes Mellitus ki problem hai.",Treatment of Type 2 diabetes mellitus,,
"Bukhar bhot tez hai aur sharir me dard hai, Pain relief aur fever medicine chahiye.","Pain relief, Fever",,
"Pairo ki nase (Varicose veins) neeli aur moti ho gayi hain, bhot dard karti hain.",Varicose veins,,
"Skin par fungal infection (daad) ho gaya hai, bhot khujli hoti hai.",Treatment of Fungal infections,,
Hath-pair kaamp rahe hain aur chalne me balance nahi banta (Parkinson's).,Parkinson's disease,,
"Aankhon me allergy hai, laali aur pani aane ki problem hai.",Treatment of Allergic eye disease,,
"Flu (Influenza) ho gaya hai, bhot weakness aur body ache hai.",Treatment of Influenza (flu),,
Hormones ki kami hai (Male hypogonadism) aur erectile dysfunction ki problem hai.,"Treatment of Male hypogonadism, Treatment of Erectile dysfunction",,
Diabetes ki wajah se blood sugar control me nahi aa rahi.,Diabetes,,
Dil ki dhadkan tez rehti hai (Arrhythmia) aur Migraine/Heart attack se bachna hai.,"Treatment of Hypertension (high blood pressure), Treatment of Angina (heart-related chest pain), Treatment of Arrhythmia, Prevention of Heart attack, Prevention of Migraine",,
Skin par moti aur lal papdi jam rahi hai (Plaque psoriasis).,Plaque psoriasis,,
"Lagatar dast (Diarrhea) ho rahe hain, loose motions ruk nahi rahe.",Diarrhea,,
"Naso me bhot tez dard rehta hai, Neuropathic pain ki shikayat hai.",Treatment of Neuropathic pain,,
Man me ajeeb khayal aate hain (Schizophrenia) aur mood bhot swings hota hai (Mania).,"Schizophrenia, Mania",,
"Aankhen bhot sookhi (Dry eyes) lagti hain, chubhan hoti hai.",Treatment of Dry eyes,,
"Nakhun me fungus (Fungal nail infection) lag gaya hai, nakhun kharab ho rahe hain.",Fungal nail infections,,
"Sharab ki lat (Alcohol addiction) chhudani hai, bhot bechaini hoti hai.",Alcohol addiction,,
Sar me rusi (Dandruff) bhot hai aur skin par fungal infection lag raha hai.,"Treatment of Fungal skin infections, Treatment of Dandruff",,
"Aankh me infection ho gaya hai, bacterial eye infection lag raha hai.",Treatment of Bacterial eye infections,,
"Body transplant ke baad organ reject na kare, iska treatment chal raha hai.","Prevention of organ rejection in transplant patients, Treatment of Rheumatoid arthritis",,
Liver me sujan hai (Cirrhosis) aur gallbladder me stones (pathri) batayi hai.,"Treatment of Primary biliary cirrhosis, Treatment of Gallbladder stones",,
Gale me infection (Pertussis/Diphtheria) hai aur bacterial infection bhot badh gaya hai.,"Treatment of Pertussis, Treatment of Diphtheria, Treatment of Bacterial infections",,
"Breast cancer ki diagnosis hui hai, treatment start karna hai.",Breast cancer,,
Chakkar aate hain (Vertigo) aur bhot ulti (Nausea/Vomiting) jaisa lagta hai.,"Treatment of Vertigo, Treatment of Nausea, Treatment of Vomiting, Treatment of Migraine, Treatment of Short term anxiety",,
"Mooh me chale (Mouth ulcers) ho gaye hain, kuch khaya nahi ja raha.",Treatment of Mouth ulcers,,
"Aankhon ka pressure (Glaucoma) badh gaya hai, vision loss ka darr hai.","Glaucoma, Ocular hypertension",,
Surgery ke baad aankhon me dard aur sujan (inflammation) ho rahi hai.,Post-operative eye pain and inflammation,,
Seene me jalan (Heartburn) aur bhot zyada ghabrahat (Anxiety) hoti hai.,"Acidity, Heartburn, Anxiety",,
"Liver bhot kharab ho gaya hai, alcoholic fatty liver disease lag rahi hai.",Alcoholic fatty liver disease,,
"Chemo ke baad bhot ulti (Nausea/Vomiting) aati hai, bhot kamzori hai.",Nausea and vomiting due to chemotherapy,,
"Pet bhot kharab hai, pechis (Dysentery) aur dast ki problem hai.","Diarrhea, Dysentery",,
"Kidney bhot kamzor ho gayi hai (Chronic kidney disease), report thik nahi hai.",Treatment of Chronic kidney disease,,
"Pet me bhot keede (Worm infections) hain, amoebiasis ki problem lag rahi hai.","Worm infections, Intestinal amoebiasis",,
Diabetes ki wajah se naso me bhot dard rehta hai (Diabetic nerve pain).,Diabetic nerve pain,,
"Abdominal cramps bhot zyada hain, pet me bhot marore uthti hai.",Abdominal cramp,,
"Naso ki purani bimari (ALS) hai, muscle control khatam ho raha hai.",Amyotrophic lateral sclerosis (ALS),,
"Thyroid bhot badh gaya hai (Hyperthyroidism), vajan ghat raha hai aur bechaini hai.",Hyperthyroidism,,
"Body me bhot nutritional deficiencies hain, vitamins aur minerals ki kami hai.",Nutritional deficiencies,,
"Hormones ki kami hai, Infertility aur menopause ki problem manage karni hai.","Hormone replacement therapy, Female infertility",,
Pregnancy me bhot ulti aur jee ghabrane (Nausea/Vomiting) ki problem hai.,Treatment of Nausea and vomiting in pregnancy,,
symptoms_text,uses_label,,
"Doctor, achanak aadhe sir me bhot tez dard (Acute Migraine) shuru ho gaya hai, bardaasht nahi ho raha.",Treatment of Acute migraine headache,,Treatment of Acute migraine headache
Yaar hormonal imbalance ki wajah se conceive nahi kar pa rahi hoon (Female infertility).,"Hormone replacement therapy, Female infertility",,
"Emergency case hai! Kheti ki dawai pee li hai (Organophosphate poisoning), mareez ko bhot pasina aur saans me takleef hai.",Organophosphate poisoning,,
"Mera BP bhot high rehta hai aur dil kamzor (Heart failure) ho gaya hai, stroke se bachne ke liye precaution chahiye.","Treatment of Hypertension (high blood pressure), Treatment of Heart failure, Prevention of heart attack and stroke",,
"Pairo ki naso me khoon ke thakke (Blood clots) jam gaye hain, bhot sujan aur dard hai.",Blood clots,,
"Pet me bhot keede (Worm infections) mehsoos ho rahe hain, bhot ajeeb lagta hai.",Treatment of Worm infections,,
"Bhot tez bukhar aur badan dard ho raha hai, koi pain relief aur fever ki dawa bhej do.","Pain relief, Treatment of Fever",,
"Autoimmune condition hai aur inflammation bhot rehti hai, cancer cells ko control karne ki therapy chal rahi hai.","Treatment of Inflammatory conditions, Treatment of Autoimmune conditions, Treatment of Cancer",,
"Body me nutrients ki bhot kami hai, nutritional deficiencies ki wajah se weakness rehti hai.",Treatment of Nutritional deficiencies,,
"Ghutno aur jodon me bhot dard hai, doctor ne Osteoarthritis bataya hai.",Osteoarthritis,,
Face par acne ho gaye hain aur lagta hai koi bacterial infection hai.,"Treatment of Bacterial infections, Treatment of Acne",,
Bhot purana fungal infection hai aur Leishmaniasis ke symptoms lag rahe hain.,"Treatment of Severe fungal infections, Treatment of Leishmaniasis.",,
Allergy ki wajah se naak beh rahi hai aur skin par rashes aur severe inflammation hai.,"Sneezing and runny nose due to allergies, Severe allergic reactions, Treatment of Skin conditions with inflammation & itching",,
Heart failure aur high blood pressure ko control karna hai taaki stroke na aaye.,"Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke, Treatment of Heart failure",,
"Aankhon me infection ho gaya hai, laali aur pus nikal raha hai (Bacterial eye infection).",Bacterial eye infections,,
"HIV infection ki diagnosis hui hai, treatment aur immunity management chahiye.",Treatment of HIV infection,,
"Pet bhot saaf nahi hota, constipation aur bloating ki severe problem hai.",Treatment of Constipation,,
Acidity bhot rehti hai aur pet me ulcers ki wajah se jalan hoti hai.,"Acidity, Stomach ulcers, Bloating",,
Menopause ke baad haddiyan bhot kamzor (Post menopausal osteoporosis) ho gayi hain.,Treatment of Post menopausal osteoporosis,,
Pregnancy rokne (Contraception) ke liye safe option chahiye.,Contraception,,
"Khansi, bukhar aur saans lene me takleef hai, Coronavirus (COVID-19) ke lakshan lag rahe hain.",Treatment of Coronavirus disease (COVID-19),,Treatment of Coronavirus disease (COVID-19)
Surgery ke baad ke zakham (Surgical incisions) ko jaldi bharna hai.,Closure of surgical incisions,,
"Loose motions bhot ho rahe hain (Infectious diarrhea), pet thik nahi ho raha.",Infectious diarrhea,,
COPD ki wajah se saans phulti hai aur allergic rhinitis (sneezing) bhot hai.,"Treatment and prevention of Chronic obstructive pulmonary disease (COPD), Treatment of Sneezing and runny nose due to allergies",,
Seene me dard (Angina) rehta hai aur Hypertension ki shikayat hai.,"Hypertension (high blood pressure), Angina (heart-related chest pain), Prevention of heart attack and stroke",,
Accident/Trauma ke baad sharir me paani ki kami (fluid replacement) ho gayi hai.,Short term fluid replacement after trauma,,
Transplant ke baad organ rejection se bachna hai aur breast/lung cancer ka treatment chal raha hai.,"Prevention of organ rejection in transplant patients, Treatment of Breast cancer, Treatment of Pancreatic cancer, Treatment of Lung cancer, Treatment of Kidney cancer",,
Safar me chakkar aate hain (Motion sickness) aur nasal allergy ki wajah se nind nahi aati (Insomnia).,"Treatment of Nasal allergy symptoms, Treatment and prevention of Motion sickness, Treatment of Insomnia",,
"Jodon me bhot zyada dard hai (Arthralgia), move karne me problem hoti hai.",Arthralgia (joint pain),,
Peshab par control nahi hai (Overactive bladder) aur muscles me spasm ho raha hai.,Treatment of Overactive bladder (OAB) symptoms,,
Naso me khichav aur muscle spasm ki wajah se bhot dard hai.,Treatment of Pain due to muscle spasm,,
"Baal bhot jhad rahe hain (Hair loss), scalp par infection lag raha hai.",Treatment of Hair loss,,
Dandruff bhot zyada ho gaya hai aur sir me fungal infection lag raha hai.,Treatment of Dandruff,,
"Doctor, dant me bhot dard hai aur cavity (Dental cavities) ki problem lag rahi hai.",Dental cavities,,
Khana upar ki taraf aata hai (Acid reflux) aur bhot badhazmi aur ulti (Vomiting) lagti hai.,"Treatment of Gastroesophageal reflux disease (Acid reflux), Treatment of Indigestion, Treatment of Nausea, Treatment of Vomiting",,
Hath-pair kaamp rahe hain (Parkinson's) aur muscle control nahi ho raha.,"Parkinson's disease, Drug induced abnormal movements",,
Skin par safed daag (Vitiligo) aur Psoriasis ke rashes ho gaye hain.,"Vitiligo, Psoriasis",,
"Blood cancer (Leukaemia) ki diagnosis hui hai, treatment options chahiye.",Blood cancer (Chronic myeloid leukaemia),,
"Dant me tez dard (Dental pain) hai, thanda-garam lag raha hai.",Treatment of Dental pain,,
"Body me iodine/hormone ki kami hai, Hypothyroidism ke symptoms lag rahe hain.",Treatment of Hypothyroidism,,
Uterine fibroids aur endometriosis ki wajah se periods me bhot bleeding hoti hai.,"Bleeding, Uterine fibroids",,
Bache paida karne me dikkat aa rahi hai (Female infertility).,Treatment of Female infertility,,
"Sharab ki lat (Alcohol addiction) bhot buri hai, ise chhodna hai.",Treatment of Alcohol addiction,,
Vagina me infection (Bacterial vaginosis) ki wajah se discharge ho raha hai.,Bacterial infections of the vagina (bacterial vaginosis),,
Face par laal daane (Rosacea) ho gaye hain.,Rosacea,,
Bache ki height nahi badh rahi (Growth hormone deficiency).,Growth failure due to growth hormone deficiency,,
"Gale me balgam jam gaya hai (excessive mucus), saans lene me ghargharahat hai.",Treatment of Respiratory disease with excessive mucus,,
"Sexual timing bhot kam hai (Premature ejaculation), treatment chahiye.",Treatment of Premature ejaculation,,
Surgery ke baad BP bhot low (Hypotension) ho gaya hai.,Hypotension following spinal anesthesia,,
Transplant ke baad organ rejection se bachne ke liye aur cancer treatment ke liye dawai chahiye.,Prevention of organ rejection in transplant patients,,
Bachpan me hi periods shuru ho gaye hain (Precocious puberty) aur prostate cancer ka darr hai.,"Treatment of Prostate cancer, Treatment of Endometriosis, Treatment of Uterine fibroids, Treatment of Precocious puberty (premature puberty)",,
"Jodon me crystal jam gaye hain, Gout ka severe pain hai.",Treatment of Gout,,
"Kali khansi, tetanus aur hepatitis B se bachav ke liye vaccine chahiye.","Prevention of Diphtheria, Prevention of Tetanus, Prevention of Pertussis, Prevention of Hepatitis B infection, Prevention of Haemophilus influenzae Type b disease",,
Aankhon me bhot zyada laali (redness) aur sujan mehsoos ho rahi hai.,Redness and swelling in the eye,,
"Body me Vitamin E ki bhot kami batayi hai report me, skin aur hair damage ho rahe hain.",Treatment of Vitamin E deficiency,,
"Eye examination ke liye pupil dilation karwana hai, putli failane wali drops chahiye.",Pupil dilation,,
"Aankhon ka pressure (Glaucoma) badh gaya hai, vision me dhundhlapan aa raha hai.",Glaucoma,,
"Rheumatoid arthritis ke sath Diabetes aur SLE (Lupus) ki problem hai, jodon me bhot sujan hai.","Treatment of Rheumatoid arthritis, Treatment of Systemic lupus erythematosus (SLE), Treatment of Type 2 diabetes mellitus",,
Periods me bhot dard (Menstrual pain) aur breast me lumps (fibrocystic disease) mehsoos hote hain.,"Treatment of Benign fibrocystic breast disease, Treatment of Endometriosis, Treatment of Premenstrual syndrome (PMS), Treatment of Menstrual pain",,
"Pet me bhot jalan aur badhazmi (Indigestion/Bloating) rehti hai, lagta hai acidity bhot badh gayi hai.","Indigestion, Bloating",,
"Breast cancer bhot fail gaya hai (Metastatic), advanced treatment ki zarurat hai.",Metastatic breast cancer,,
"Khoom ki bhot kami (Iron deficiency anemia) hai, har waqt thakan aur weakness rehti hai.",Treatment of Iron deficiency anemia,,
"Urinary tract infection (UTI) ho gaya hai, peshab karte waqt bhot jalan aur dard hota hai.",Treatment of Urinary tract infections (UTIs),,
"Pairo ki naso me blood clot (Deep vein thrombosis) jam gaya hai, Pulmonary embolism ka khatra hai.","Deep vein thrombosis, Pulmonary embolism",,
"??????? me scarring (Idiopathic pulmonary fibrosis) ho gayi hai, saans lene me bhot takleef hai.",Treatment of Idiopathic pulmonary fibrosis,,
Man me baar baar ek hi khayal aata hai (OCD) aur bhot Depression rehta hai.,"Depression, Obsessive-compulsive disorder",,
"Bladder me bhot pain aur sujan hai, Interstitial cystitis ki problem lag rahi hai.",Interstitial cystitis,,
"Dimaag ki naso me problem hai (Multiple sclerosis), body movements control nahi ho rahe.",Multiple sclerosis (MS),,
"Pet me ulcer aur mooh me chale (Mouth ulcers) ho gaye hain, kuch khaya nahi ja raha.","Treatment of Peptic ulcer disease, Treatment of Mouth ulcers",,
"Pet me purani sujan (Ulcerative colitis/Crohn s disease) hai, lagatar dast aur dard rehta hai.","Ulcerative colitis, Crohn s disease",,
"HPV infection ki wajah se genital warts ho gaye hain, cancer se bachne ke liye prevention chahiye.","Prevention of HPV-associated cancers, Prevention of Genital warts",,
Muscle relaxant ka asar surgery ke baad khatam karna hai (Reversal of effect).,"Myasthenia gravis, Paralytic ileus, Post-operative urinary retention, Reversal of effect",,
Menopause ke baad haddiyan bhot kamzor (Osteoporosis) aur tedi ho rahi hain.,"Post menopausal osteoporosis, Paget's disease",,
"Body me bhot khujli hai, chote chote daane ho gaye hain (Scabies).",Scabies,,
Mirgi ke daure (Epilepsy) aur Fibromyalgia ki wajah se poore sharir me naso ka dard hai.,"Treatment of Neuropathic pain, Treatment of Epilepsy/Seizures, Treatment of Fibromyalgia",,
Blood cancer (Leukemia) aur pet ke tumor (GIST) ki diagnosis hui hai.,"Blood cancer, Gastrointestinal stromal tumour",,
"Sugar level achanak bhot gir gaya hai (Severe hypoglycemia), mareez behosh ho raha hai.",Severe hypoglycemia,,
Masoodo me bhot sujan aur dard hai (Inflammation of gums).,Treatment of Inflammation of gums,,
"Urine bladder ya Ovarian cancer ki diagnosis hui hai, chemotherapy start karni hai.","Non-small cell lung cancer, Breast cancer, Pancreatic cancer, Urinary bladder cancer, Ovarian cancer",,
"Achanak seene me tez dard aur paseena aa raha hai, Heart attack ke lakshan hain.",Heart attack,,
"Sharir me sodium ki bhot kami (Low sodium) ho gayi hai, kamzori mehsoos ho rahi hai.",Treatment of Low levels of sodium in the blood,,
Mooh me bhot infection aur jalan mehsoos ho rahi hai.,Treatment of Mouth infection,,
Skin bhot jal gayi hai (Burns) aur stretch marks hatane ka treatment chahiye.,"Burns, Stretch Marks",,
"Diphtheria, Tetanus aur Polio se bachne ke liye vaccine lagwani hai.","Diphtheria, Haemophilus influenzae Type b disease, Pertussis, Tetanus, Polio",,
Naso me sujan aur khoon jamne (Thrombophlebitis) ki shikayat hai.,Thrombophlebitis,,
PCOS ki wajah se periods irregular hain aur weight badh raha hai.,Polycystic ovarian syndrome (PCOS),,
"Leprosy (Koshth rog) ke lakshan hain, skin sunn pad rahi hai.",Leprosy,,
"Liver bhot kharab ho gaya hai (Liver cirrhosis), Hepatitis C ka purana infection hai.","Chronic liver disease, Liver cirrhosis",,
"Chehre par bhot jhurriyan (Wrinkles) aa gayi hain, anti-aging treatment chahiye.",Wrinkles,,
"Stroke ke baad sharir ka ek side sunn ho gaya hai, dimaag me blood flow badhana hai.",Stroke,,
BP low rehta hai aur dil ki dhadkan bhot kam (Bradycardia) ho gayi hai.,"Treatment of Bradycardia, Treatment of Cardiac arrest",,
Bipolar disorder ki wajah se mood achanak bhot badal jata hai (Mania).,"Mania, Bipolar disorder",,
Kidney stone ki wajah se pith me bhot tez dard ho raha hai.,Treatment of Kidney stone,,
Asthma se bachne ke liye inhaler aur prevention treatment chahiye.,Prevention of Asthma,,
Mooh me jalan aur ulcers (Mouth ulcers) bhot zyada ho gaye hain.,Mouth ulcers,,
Menopause ke baad calcium ki kami aur Osteoporosis ho gaya hai.,"Treatment of Calcium deficiency, Treatment of Post menopausal osteoporosis",,
Pet me marore (IBS) aur severe constipation ki problem hai.,"Constipation, Irritable bowel syndrome",,
Parkinson's disease ki wajah se sharir me kampann (tremors) rehte hain.,Treatment of Parkinson's disease,,
"Mooh me safed fungus (Thrush) jam gaya hai, fungal infection lag raha hai.","Fungal infections of mouth (Thrush), Treatment of Fungal infections",,
Multiple myeloma ki treatment chal rahi hai aur skin par lepra reaction hai.,"Multiple myeloma, Lepra reaction",,
"Pith me tez dard ho raha hai aur peshab me jalan hai, doctor ne Kidney stone ki diagnosis ki hai.",Treatment and prevention of Kidney stone,,
Masoodo me sujan (Gums inflammation) hai aur minor surgery ke liye hissa sunn (Local anesthesia) karna hai.,"Treatment of Inflammation of gums, Local anesthesia (Numb tissues in a specific area)",,
"Masoodo se khoon aata hai aur bhot thakan rehti hai, lagta hai Vitamin C ki severe deficiency hai.",Treatment of Vitamin C deficiency,,
"Bukhar ke sath ajeeb infection feel ho raha hai, lagta hai Bacterial ya Parasitic infection hua hai.","Treatment of Bacterial infections, Treatment of Parasitic infections",,
"Sharir bhot kamzor ho gaya hai, reports me Vitamin aur mineral deficiency aayi hai.",Treatment of Vitamin & mineral deficiency,,
Periods ruk gaye hain (Amenorrhea) aur Endometriosis ki wajah se bhot zyada bleeding aur dard hota hai.,"Treatment of Amenorrhea, Treatment of Abnormal uterine bleeding, Treatment of Endometriosis",,
"Bhot zyada thakan rehti hai aur hath-pair sunn padte hain, Vitamin B12 deficiency aur Pernicious Anemia lag raha hai.","Treatment of Pernicious Anemia, Vitamin B12 deficiency",,
Mera BP (Hypertension) bhot high rehta hai aur dil bhot kamzor (Heart failure) ho gaya hai.,"Treatment of Hypertension (high blood pressure), Treatment of Heart failure",,
"Bachha hone ke baad bleeding ruk hi nahi rahi hai, post-delivery bleeding bhot zyada hai.",Post-delivery bleeding,,
"Yaar pet me bhot marore hain, abdominal pain aur IBS ki purani shikayat hai.","Treatment of Irritable bowel syndrome, Treatment of Abdominal pain",,
Poore face par mote pimples (Acne) hain aur lagta hai koi parasitic infection hai.,"Acne, Treatment of Bacterial infections, Treatment of Parasitic infections",,
Face par kale dhabbe pad rahe hain aur Hyperpigmentation ki wajah se skin ka rang badal raha hai.,Treatment of Hyperpigmentation,,
"Seene me dard (Angina) hota hai aur BP high rehta hai, heart attack aur stroke se bachne ki dawa chahiye.","Treatment of Hypertension (high blood pressure), Treatment of Angina (heart-related chest pain), Treatment of Arrhythmia, Prevention of Heart attack, Prevention of Stroke",,
"Thand lag kar tez bukhar hai aur badan toot raha hai, Malaria lag raha hai.",Malaria,,
Raat ko bed-wetting ki problem ho rahi hai aur bhot zyada pyaas lagti hai (Diabetes insipidus).,"Diabetes insipidus, Bed-wetting",,
Mirgi ke daure (Epilepsy) padte hain aur naso me (Trigeminal neuralgia) tez bijli jaisa dard hota hai.,"Epilepsy/Seizures, Trigeminal neuralgia, Diabetic nerve pain",,
"Door ka dhundhla dikh raha hai, Myopia ki wajah se vision bhot weak ho gayi hai.",Treatment of Myopia,,
"Hont aur aankhen suddenly sooj gaye hain, Angioedema ke symptoms mehsoos ho rahe hain.",Angioedema,,
Dimaagi bukhar (Meningococcal disease) se bachne ke liye prevention treatment chahiye.,Prevention of Meningococcal disease,,
Peshab baar-baar aata hai aur bladder control nahi ho raha (Overactive bladder symptoms).,Overactive bladder (OAB) symptoms,,
"Body par safed chitte (Vitiligo) pad rahe hain, skin ka natural color ud raha hai.",Vitiligo,,
Khana upar ki taraf aata hai aur seene me jalan (Acid reflux/GERD) hoti hai.,Gastroesophageal reflux disease (Acid reflux),,
Zakham par patti karni hai aur infection (Wound infection) se bachna hai.,Prevention of Wound infection,,
Peptic ulcer ki wajah se pet me bhot jalan hai aur lagta hai koi bacterial infection bhi hai.,"Treatment of Peptic ulcer disease, Treatment of Bacterial infections",,
Unwanted pregnancy rokne (Contraception) aur periods ki heavy bleeding thik karni hai.,"Contraception, Heavy menstrual bleeding",,
"Pet saaf nahi hota, constipation aur bloating ki wajah se pet phula rehta hai.","Constipation, Bloating",,
Surgery ke waqt di gayi anesthesia ki dawaiyon ka asar khatam karna hai.,Reversing the effects of certain drugs used during surgery,,
Pregnancy me high BP ki wajah se daure (Seizures) pad rahe hain aur magnesium bhot kam hai.,"Seizures in pregnant women with high blood pressure, Decreased magnesium levels in blood",,
Emergency BP emergency hai aur seene me dard (Angina) bhot zyada hai.,"Treatment of Hypertensive emergency, Treatment of Hypertension (high blood pressure), Treatment of Angina (heart-related chest pain), Treatment of Arrhythmia, Prevention of Heart attack",,
"Tez bukhar hai aur Typhoid ki report positive aayi hai, sath me bacterial infection bhi hai.","Treatment of Typhoid fever, Treatment of Bacterial infections",,
Doctor ne bola hai ki liver par charbi (Fatty liver) jama ho gayi hai.,Fatty liver disease,,
Mardana kamzori aur Male infertility ki wajah se bacha paida karne me dikkat aa rahi hai.,Male infertility,,
Ajeeb awaazein sunayi deti hain aur dimaagi santulan (Schizophrenia) thik nahi lag raha.,Treatment of Schizophrenia,,
Sardi ki wajah se naak ekdum jam (Nasal congestion) gayi hai aur saans lene me blockage hai.,Nasal congestion (blocked nose),,
"Mood bhot swings karta hai, bhot udasi (Depression) aur bechaini (Bipolar disorder) rehti hai.","Treatment of Schizophrenia, Treatment of Depression, Treatment of Bipolar disorder",,
Haddiyon me cancer aur Multiple myeloma ki diagnosis hui hai.,"Multiple myeloma, Mantle-cell lymphoma",,
Hath-pair kaampte hain (Parkinson's) aur sote waqt pairo me bechaini (Restless leg syndrome) hoti hai.,"Parkinson's disease, Restless leg syndrome",,
Mooh me infection hai aur skin par bacterial rash ho gaya hai.,"Skin infections, Treatment of Mouth infection",,
"Har waqt Depression aur Anxiety rehti hai, man bhot pareshan hai.","Depression, Anxiety",,
Dast (Diarrhea) aur pechis (Dysentery) ki wajah se bhot weakness ho gayi hai.,"Treatment of Diarrhea, Treatment of Dysentery",,
Vitamin deficiency ki wajah se thakan rehti hai aur diabetic nerve pain bhot hota hai.,"Treatment of Vitamin & mineral deficiency, Treatment of Diabetic nerve pain",,
